date,furniture_sales,food_sales,used_car_sales,pharmacy_sales
1/1/92,3846,164095,1744,6358
2/1/92,3908,164213,1990,6284
3/1/92,4157,163721,2177,6420
4/1/92,4141,164709,2601,6573
5/1/92,4275,165612,2171,6491
6/1/92,4357,166077,2207,6342
7/1/92,4407,167257,2251,6236
8/1/92,4446,167800,2087,6280
9/1/92,4328,169400,2016,6074
10/1/92,4497,170625,2149,6439
11/1/92,4687,171003,1667,6175
12/1/92,5287,173105,1583,8119
1/1/93,4104,175108,2022,6163
2/1/93,3908,173744,2199,6198
3/1/93,4369,172306,2526,6643
4/1/93,4372,176749,2564,6654
5/1/93,4535,178426,2309,6595
6/1/93,4568,178157,2393,6519
7/1/93,4682,180743,2485,6539
8/1/93,4733,180707,2287,6415
9/1/93,4621,181773,2167,6311
10/1/93,4775,182884,2339,6480
11/1/93,5158,184747,2253,6535
12/1/93,5631,186399,2060,8655
1/1/94,4018,185142,2199,6504
2/1/94,4140,188074,2432,6205
3/1/94,4827,191579,2669,6926
4/1/94,4700,191639,2782,6622
5/1/94,4867,190929,2638,6788
6/1/94,4958,193130,2769,6670
7/1/94,4980,193743,2774,6573
8/1/94,5356,196163,3119,6829
9/1/94,5203,197765,2887,6570
10/1/94,5328,199571,3136,6777
11/1/94,5734,199731,2564,6800
12/1/94,6305,200702,2470,8730
1/1/95,4649,201573,2709,6829
2/1/95,4410,198399,2833,6614
3/1/95,5084,200247,3296,7135
4/1/95,4818,201032,2998,6954
5/1/95,5195,202986,3180,7274
6/1/95,5196,205500,3303,7034
7/1/95,5190,204920,3492,6793
8/1/95,5506,206521,3445,7035
9/1/95,5418,207006,3223,6859
10/1/95,5505,206176,3074,7083
11/1/95,6090,208664,2931,7208
12/1/95,6409,210399,2558,9022
1/1/96,4788,208699,2871,7134
2/1/96,4833,212008,3451,7190
3/1/96,5410,213891,4046,7510
4/1/96,5310,214676,3879,7425
5/1/96,5603,216299,3727,7755
6/1/96,5479,216068,3538,7264
7/1/96,5673,216332,3571,7484
8/1/96,5893,216358,3511,7629
9/1/96,5589,219256,3221,7208
10/1/96,5970,221060,3526,7811
11/1/96,6425,220963,3262,7699
12/1/96,6734,221991,3006,9701
1/1/97,5311,223481,3377,7889
2/1/97,5116,225422,3834,7615
3/1/97,5715,226161,4089,8330
4/1/97,5670,224615,4115,7885
5/1/97,6010,222929,4022,8300
6/1/97,5805,226057,4088,7968
7/1/97,6027,228703,4066,8065
8/1/97,6263,229309,3864,7997
9/1/97,6094,230312,3741,7930
10/1/97,6369,229836,3822,8309
11/1/97,6781,230440,3294,8146
12/1/97,7554,231181,3374,10389
1/1/98,5822,231587,3681,8526
2/1/98,5581,231684,4154,8185
3/1/98,6162,233083,4523,8711
4/1/98,6038,235986,4400,8854
5/1/98,6225,237075,4356,8969
6/1/98,6310,238971,4723,8785
7/1/98,6466,237411,4535,8897
8/1/98,6502,236379,4476,8884
9/1/98,6329,238550,4138,8730
10/1/98,6693,242549,4535,9231
11/1/98,7186,244291,3730,9144
12/1/98,8098,246530,3691,11499
1/1/99,5922,246868,4115,9406
2/1/99,5996,249520,4597,9246
3/1/99,6790,250667,4921,10168
4/1/99,6481,252477,4824,9881
5/1/99,6684,254735,4950,10054
6/1/99,6853,255449,5047,9972
7/1/99,6961,257456,4895,9874
8/1/99,7240,260230,4892,9834
